date,actual_AQI,predicted_AQI,error,absolute_error,squared_error,actual_category,predicted_category,category_correct
2025-05-01,64.0,66.670419458913,2.6704194589130026,2.6704194589130026,7.131140086541214,Moderate,Moderate,True
2025-05-02,75.0,71.63112316439825,-3.3688768356017533,3.3688768356017533,11.349331133454083,Moderate,Moderate,True
2025-05-03,68.0,68.82548460139068,0.8254846013906842,0.8254846013906842,0.6814248271331369,Moderate,Moderate,True
2025-05-04,81.0,71.74763053237297,-9.252369467627034,9.252369467627034,85.60634076547696,Moderate,Moderate,True
2025-05-05,140.0,91.41680463504619,-48.58319536495381,48.58319536495381,2360.3268718692693,Unhealthy for Sensitive Groups,Moderate,False
2025-05-06,108.0,114.3466674789903,6.346667478990298,6.346667478990298,40.28018808887307,Unhealthy for Sensitive Groups,Unhealthy for Sensitive Groups,True
2025-05-07,78.0,89.27533851884775,11.275338518847747,11.275338518847747,127.1332587146117,Moderate,Moderate,True
2025-05-08,86.0,79.47440048299339,-6.5255995170066114,6.5255995170066114,42.58344905635692,Moderate,Moderate,True
2025-05-09,89.0,92.38566119765085,3.3856611976508475,3.3856611976508475,11.46270174527857,Moderate,Moderate,True
2025-05-10,96.0,97.31109681925096,1.311096819250963,1.311096819250963,1.7189748694499927,Moderate,Moderate,True
2025-05-11,107.0,101.78034007172369,-5.2196599282763145,5.2196599282763145,27.244849766853502,Unhealthy for Sensitive Groups,Unhealthy for Sensitive Groups,True
2025-05-12,91.0,95.36084612893211,4.36084612893211,4.36084612893211,19.01697896022217,Moderate,Moderate,True
2025-05-13,75.0,65.1119197486073,-9.888080251392694,9.888080251392694,97.7741310579822,Moderate,Moderate,True
2025-05-14,83.0,76.04833931519848,-6.951660684801524,6.951660684801524,48.3255862766152,Moderate,Moderate,True
2025-05-15,74.0,74.78103783394829,0.7810378339482895,0.7810378339482895,0.6100200980586359,Moderate,Moderate,True
2025-05-16,70.0,75.33917605027914,5.339176050279136,5.339176050279136,28.50680089587431,Moderate,Moderate,True
2025-05-17,68.0,72.45754863033605,4.457548630336049,4.457548630336049,19.869739791810787,Moderate,Moderate,True
2025-05-18,68.0,66.83197381227279,-1.1680261877272073,1.1680261877272073,1.3642851752165535,Moderate,Moderate,True
2025-05-19,76.0,65.62956300879372,-10.370436991206276,10.370436991206276,107.54596338857948,Moderate,Moderate,True
2025-05-20,84.0,82.1018897978057,-1.898110202194303,1.898110202194303,3.602822339674098,Moderate,Moderate,True
2025-05-21,85.0,102.00382900448786,17.003829004487855,17.003829004487855,289.1302008138624,Moderate,Unhealthy for Sensitive Groups,False
2025-05-22,76.0,90.37997886194347,14.37997886194347,14.37997886194347,206.78379206994103,Moderate,Moderate,True
2025-05-23,73.0,73.87087926115123,0.8708792611512308,0.8708792611512308,0.7584306875033137,Moderate,Moderate,True
2025-05-24,85.0,80.79038531411527,-4.2096146858847305,4.2096146858847305,17.7208558036164,Moderate,Moderate,True
2025-05-25,87.0,89.15218251701495,2.15218251701495,2.15218251701495,4.631889586544805,Moderate,Moderate,True
2025-05-26,87.0,84.2922347051524,-2.7077652948476043,2.7077652948476043,7.331992891981134,Moderate,Moderate,True
2025-05-27,83.0,74.85847923728839,-8.141520762711608,8.141520762711608,66.2843603296642,Moderate,Moderate,True
2025-05-28,116.0,88.79109489624146,-27.20890510375854,27.20890510375854,740.3245169453375,Unhealthy for Sensitive Groups,Moderate,False
2025-05-29,112.0,119.20495852455659,7.204958524556588,7.204958524556588,51.911427340580644,Unhealthy for Sensitive Groups,Unhealthy for Sensitive Groups,True
2025-05-30,107.0,120.55449760583376,13.55449760583376,13.55449760583376,183.7244053465531,Unhealthy for Sensitive Groups,Unhealthy for Sensitive Groups,True
2025-05-31,102.0,115.28157266085852,13.281572660858515,13.281572660858515,176.40017234566434,Unhealthy for Sensitive Groups,Unhealthy for Sensitive Groups,True
2025-06-01,119.0,112.3461254719459,-6.653874528054104,6.653874528054104,44.27404623508722,Unhealthy for Sensitive Groups,Unhealthy for Sensitive Groups,True
2025-06-02,122.0,108.08450786066847,-13.915492139331533,13.915492139331533,193.6409214797977,Unhealthy for Sensitive Groups,Unhealthy for Sensitive Groups,True
2025-06-03,95.0,88.38500517056306,-6.614994829436938,6.614994829436938,43.75815659347742,Moderate,Moderate,True
2025-06-04,88.0,84.27670448200891,-3.7232955179910903,3.7232955179910903,13.86292951429254,Moderate,Moderate,True
2025-06-05,82.0,77.4767182026763,-4.523281797323705,4.523281797323705,20.460078217999964,Moderate,Moderate,True
2025-06-06,81.0,81.52256256422207,0.5225625642220706,0.5225625642220706,0.27307163352634567,Moderate,Moderate,True
2025-06-07,79.0,81.29088198702097,2.290881987020967,2.290881987020967,5.248140278457133,Moderate,Moderate,True
2025-06-08,78.0,76.16022637481598,-1.8397736251840229,1.8397736251840229,3.3847669919227616,Moderate,Moderate,True
2025-06-09,76.0,72.3936039712714,-3.6063960287285965,3.6063960287285965,13.006092316029392,Moderate,Moderate,True
2025-06-10,74.0,69.08245992593442,-4.917540074065585,4.917540074065585,24.182200380040953,Moderate,Moderate,True
